Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Input shape: (C=5, H=144, W=72)
Epoch: 77, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026945401, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039590434, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 78, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026983758, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039390452, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 79, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026959815, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039169528, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 80, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026956670, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039661277, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 81, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026910368, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.73, Valid Cycle Loss: 0.0040033048, Validation Loss: 7.46, Learning Rate: 1.0000000000000004e-08
Epoch: 82, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026978101, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038997080, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 83, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026910473, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039560090, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 84, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027019170, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039151318, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 85, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026959223, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0038664191, Validation Loss: 7.43, Learning Rate: 1.0000000000000004e-08
Epoch: 86, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026911694, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0038859005, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 87, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027007476, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039398272, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 88, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0027033399, Train Loss: 5.19, Con Valid Loss 1: 3.74, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039261001, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 89, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026880690, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.71, Valid Cycle Loss: 0.0039071439, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
Epoch: 90, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026929428, Train Loss: 5.19, Con Valid Loss 1: 3.72, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039354798, Validation Loss: 7.44, Learning Rate: 1.0000000000000004e-08
Epoch: 91, Con Train Loss 1: 2.59, Con Train Loss 2: 2.59, Train Cycle Loss: 0.0026927320, Train Loss: 5.19, Con Valid Loss 1: 3.73, Con Valid Loss 2: 3.72, Valid Cycle Loss: 0.0039499660, Validation Loss: 7.45, Learning Rate: 1.0000000000000004e-08
